id;code;name;description;display_order;active
1;Optimized;Fully-configurable SMS;Specialist Cambridgeshire;40670;false
2;cross-platform Lek Books;driver hacking;Kwacha core Towels;37272;false
3;Intelligent Plastic Car;Unbranded Soft Towels methodology;relationships;29258;false
4;Program;Illinois Graphic Interface;Cambodia;87983;false
5;Bike lavender SCSI;interfaces;Spurs grid-enabled Research;42173;true
6;strategize Fully-configurable;Ergonomic Rubber Cheese frictionless Future;solution quantify;14666;false
7;New Hampshire database;whiteboard;Small Soft Mouse;20239;true
8;override;Operations;bypass;24926;true
9;Indiana;panel;parsing technologies;16182;false
10;Licensed Concrete Salad;transmit;Alabama;57270;true
