id;code;name;level_number;active
1;Associate;IB monitor;69300;false
2;Savings Account protocol;azure Investment Account;20810;false
3;mint green;Locks Arkansas redundant;75592;false
4;e-services Configuration optimal;payment;48028;false
5;Kentucky discrete;calculating Serbia benchmark;42877;false
6;holistic;Metal array;10452;false
7;Unbranded Steel Cheese Incredible Wooden Bacon Bedfordshire;Officer Louisiana composite;47181;false
8;bypass;haptic Roads Malawi;12101;false
9;Generic GB Keyboard;Dynamic;69232;true
10;Licensed Vermont Public-key;indigo;23363;false
