id;code;name;latitude;longitude;level_id
1;Investment Account plum overriding;solution;45509;95496;1
2;Practical;Bedfordshire yellow;45610;46706;2
3;Granite;Industrial generate purple;57272;56864;3
4;Metrics Lodge;violet Coordinator capacitor;77225;12489;4
5;UAE Dirham Ball XML;card 1080p International;994;77347;5
6;Ball;Moroccan Dirham;433;21873;6
7;Cotton Associate networks;homogeneous quantifying;29081;9413;7
8;complexity;Internal Directives SSL;29256;10985;8
9;Roads envisioneer;background Credit Card Account Credit Card Account;48647;73343;9
10;Iowa communities Analyst;Bike Bike Mississippi;35721;88048;10
