id;code;name;start_date;end_date
1;contextually-based Home Loan Account Books;Stand-alone;2020-09-02;2020-09-02
2;Refined Frozen Table Infrastructure;Assimilated Center;2020-09-01;2020-09-01
3;Kansas utilize;Checking Account Engineer;2020-09-01;2020-09-02
4;system e-services Soft;Senior Junctions Assistant;2020-09-02;2020-09-02
5;Investment Account;world-class digital;2020-09-01;2020-09-01
6;Berkshire Alley revolutionary;robust solution;2020-09-02;2020-09-01
7;Beauty index Enhanced;Prairie;2020-09-01;2020-09-02
8;copying Fresh Corners;Buckinghamshire Azerbaijanian Manat;2020-09-02;2020-09-01
9;open-source;Kwacha multi-byte;2020-09-01;2020-09-02
10;Intelligent Radial Specialist;Fiji Dollar;2020-09-02;2020-09-01
